REFERENCIA;DESCRIPCION;INVIMA
23087209-T;2.0-Tornillo de Bloqueo Cross 9mm;Invima:2025DM-0031031
230872011-T;2.0-Tornillo de Bloqueo Cross 11mm;Invima:2025DM-0031031
23087248-T;2.4-Tornillo de Bloqueo Cross 8mm;Invima:2025DM-0031031
230872410-T;2.4-Tornillo de Bloqueo Cross 10mm;Invima:2025DM-0031031
230872412-T;2.4-Tornillo de Bloqueo Cross 12mm;Invima:2025DM-0031031
230872414-T;2.4-Tornillo de Bloqueo Cross 14mm;Invima:2025DM-0031031
22087248-T;2.4-Tornillo Cortical Cross de 8mm;Invima:2025DM-0031031
220872410-T;2.4-Tornillo Cortical Cross de 10mm;Invima:2025DM-0031031
220872412-T;2.4-Tornillo Cortical Cross de 12mm;Invima:2025DM-0031031
220872414-T;2.4-Tornillo Cortical Cross de 14mm;Invima:2025DM-0031031
220872416-T;2.4-Tornillo Cortical Cross de 16mm;Invima:2025DM-0031031
220872418-T;2.4-Tornillo Cortical Cross de 18mm;Invima:2025DM-0031031
220872420-T;2.4-Tornillo Cortical Cross de 20mm;Invima:2025DM-0031031
220872422-T;2.4-Tornillo Cortical Cross de 22mm;Invima:2025DM-0031031
220872424-T;2.4-Tornillo Cortical Cross de 24mm;Invima:2025DM-0031031
22087278-T;2.7-Tornillo Cortical Cross de 8mm;Invima:2025DM-0031031
220872710-T;2.7-Tornillo Cortical Cross de 10mm;Invima:2025DM-0031031
220872712-T;2.7-Tornillo Cortical Cross de 12mm;Invima:2025DM-0031031
220872714-T;2.7-Tornillo Cortical Cross de 14mm;Invima:2025DM-0031031
220872716-T;2.7-Tornillo Cortical Cross de 16mm;Invima:2025DM-0031031
22087278-T;2.7-Tornillo Cortical Cross de 8mm;Invima:2025DM-0031031
220872710-T;2.7-Tornillo Cortical Cross de 10mm;Invima:2025DM-0031031
220872712-T;2.7-Tornillo Cortical Cross de 12mm;Invima:2025DM-0031031
220872714-T;2.7-Tornillo Cortical Cross de 14mm;Invima:2025DM-0031031
